id,title,question_url,subdomain,type,num_boundaries_open,low_open,high_open,p_outside,question_scale_low,question_scale_high,anon_prediction_count,last_activity_time,votes,comment_count,created_time,publish_time,close_time,resolve_time,author_name,last_read,has_predictions,activity,title_short
4694,"What will Gross World Product be in 2047, in trillions of US$?",https://www.metaculus.com/questions/4694,www,LogQuestion,2.00000000000000000000,True,True,,50,100000,0.00000000000000000000,2020-06-22T14:34:24.601294Z,2,0,2020-06-22T14:34:24.601294Z,2020-06-24 22:00:00.000,2030-02-20 22:01:00,2048-01-19 23:00:00,Tamay,,True,0.25090600281910074854,What will Gross World Product be in 2047
4645,"If Conservatives win the next UK general election, what will the England & Wales prison population rate per 100,000 people be 5 years later?",https://www.metaculus.com/questions/4645,www,LinearQuestion,2.00000000000000000000,True,True,,100,180,0.00000000000000000000,2020-06-14T16:29:52.393444Z,1,0,2020-06-14T16:29:52.393444Z,2020-06-24 22:00:00.000,2027-02-14 00:00:00,2030-12-31 00:00:00,holomanga,,True,0.03635723976592526024,If Conservatives win the next UK general
4644,"If Labour wins the next UK general election, what will the England & Wales prison population rate per 100,000 people be 5 years later?",https://www.metaculus.com/questions/4644,www,LinearQuestion,2.00000000000000000000,True,True,,100,180,0.00000000000000000000,2020-06-14T14:30:14.717192Z,1,0,2020-06-14T14:30:14.717192Z,2020-06-24 22:00:00.000,2027-02-14 00:00:00,2030-12-31 00:00:00,holomanga,,True,0.03636064679376209419,If Labour wins the next UK general elect
4692,When will The Boring Company tunnel faster than a snail?,https://www.metaculus.com/questions/4692,www,LinearDateQuestion,1.00000000000000000000,False,True,0.01000000000000000888,2021-06-15,2027-06-15,0.00000000000000000000,2020-06-25T18:17:47.314220Z,7,1,2020-06-22T06:31:58.450487Z,2020-06-24 22:00:00.000,2025-06-22 05:51:00,2027-06-22 05:51:00,krtnu,,True,0.38860444089025880654,When will The Boring Company tunnel fast
4680,When will the population size of India surpass the population size of China?,https://www.metaculus.com/questions/4680,www,LinearDateQuestion,1.00000000000000000000,False,True,0.01000000000000000888,2020-12-30,2030-01-01,0.00000000000000000000,2020-06-25T05:25:14.570587Z,5,0,2020-06-19T17:36:49.201914Z,2020-06-23 22:00:00.000,2021-03-01 08:00:00,2030-01-01 08:00:00,Matthew_Barnett,,True,0.00784884051393910064,When will the population size of India s
4688,What will the real GDP/capita of the USA be in 2024 if Donald Trump is reelected president?,https://www.metaculus.com/questions/4688,www,LinearQuestion,2.00000000000000000000,True,True,0.04044999999999995821,25000,200000,0.00000000000000000000,2020-06-24T00:36:43.311637Z,9,15,2020-06-21T06:03:58.819677Z,2020-06-23 22:00:00.000,2021-11-02 04:00:00,2025-12-31 05:00:00,nagolinc,,True,0.22818834799816350989,What will the real GDP/capita of the USA
4683,Will the border conflict between India and China escalate to a deadly clash involving gunfire or explosives before 2021?,https://www.metaculus.com/questions/4683,www,BinaryQuestion,,,,,,,,2020-06-25T07:13:28.158638Z,4,6,2020-06-19T19:01:28.582070Z,2020-06-23 18:00:00.000,2020-10-31 18:59:05.300000,2021-01-01 07:00:00.700000,,,,0.81262972315557002734,Will the border conflict between India a
4682,Will at least 500 Indians die in clashes along the border with the Chinese military before 2021?,https://www.metaculus.com/questions/4682,www,BinaryQuestion,,,,,,,,2020-06-25T07:13:07.307401Z,4,3,2020-06-19T18:59:47.119304Z,2020-06-23 18:00:00.000,2020-11-01 05:59:01.200000,2021-01-01 07:00:01.700000,,,,0.69176710901476368143,Will at least 500 Indians die in clashes
4697,"[short fuse] Given that the NYT publishes an article on Scott Alexander, will it include his full name?",https://www.metaculus.com/questions/4697,www,BinaryQuestion,,,,,,,,2020-06-25T18:20:37.402310Z,52,49,2020-06-23T11:19:01.061598Z,2020-06-23 03:00:00.000,2020-07-08 03:00:00,2020-07-08 03:00:00,,,,53.07091961809570079822,[short fuse] Given that the NYT publishe
4681,How many paid memberships will Netflix have worldwide on December 31st 2020?,https://www.metaculus.com/questions/4681,www,LinearQuestion,2.00000000000000000000,True,True,0.02311000000000002635,160000000,320000000,1.00000000000000000000,2020-06-25T18:15:02.194179Z,7,8,2020-06-19T18:42:53.046239Z,2020-06-21 22:00:00.000,2020-09-30 22:00:00,2021-09-30 22:00:00,alexrjl,,True,4.25423634979860665339,How many paid memberships will Netflix h
